Order_ID,Customer_ID,Customer_Age,Customer_Type,Restaurant_Name,Restaurant_Rating,Cuisine,Order_Value,Discount_Applied,Payment_Method,Distance,Traffic_Level,Weather,Delivery_Time,Late_Delivery,Partner_Experience_Years,Vehicle_Type,Order_Time,Day_of_Week,Is_Weekend,Festival_Season,Delivery_Status
30,2462,28,Premium,Urban Kitchen,4.8,Chinese,786.75,0.37,Cash,2.42,Low,Clear,14.55,0,3.5,Cycle,2025-02-09 02:43:00,Sunday,1,0,On-Time
31,3374,26,Regular,Food Palace,4.1,Indian,876.49,26.08,Cash,4.14,Low,Clear,26.77,0,3.7,Scooter,2025-01-29 20:18:00,Wednesday,0,1,On-Time
32,4990,40,Regular,Urban Kitchen,4.5,Chinese,832.11,33.97,Card,10.21,High,Stormy,84.94,1,3.1,Cycle,2025-01-02 10:25:00,Thursday,0,0,Cancelled
33,4648,27,Premium,Spicy Hub,3.5,Desserts,406.19,38.92,Card,6.5,Medium,Rainy,52.19,1,4.5,Scooter,2025-01-03 16:34:00,Friday,0,0,Late
34,2529,49,Regular,Food Palace,4.0,Italian,755.75,19.7,Cash,3.73,High,Clear,29.03,0,3.8,Bike,2025-01-19 19:35:00,Sunday,1,0,On-Time
35,3421,37,Premium,Urban Kitchen,4.3,Italian,335.97,37.62,UPI,14.36,High,Stormy,133.98,1,4.6,Bike,2025-01-15 15:30:00,Wednesday,0,0,Late
36,1487,43,Regular,Food Palace,4.9,Italian,599.59,38.67,Card,14.49,Low,Rainy,74.53,1,4.3,Cycle,2025-01-08 16:18:00,Wednesday,0,0,Late
37,3525,59,Regular,Spicy Hub,4.7,Italian,482.77,6.78,Cash,8.8,Low,Clear,46.5,1,4.7,Bike,2025-01-30 02:34:00,Thursday,0,0,Late
38,3106,57,Regular,Spicy Hub,3.2,Fast Food,795.76,39.6,Card,2.96,Low,Clear,22.78,0,2.8,Scooter,2025-02-21 04:39:00,Friday,0,0,On-Time
39,3411,38,New,Food Palace,4.4,Italian,887.61,14.38,Card,5.11,Medium,Clear,37.67,0,4.1,Scooter,2025-03-18 13:09:00,Tuesday,0,0,Cancelled
40,2207,28,Premium,Urban Kitchen,4.8,Indian,686.91,20.06,Card,12.18,Medium,Stormy,111.97,1,3.4,Bike,2025-03-25 10:50:00,Tuesday,0,0,Late
41,3345,22,Regular,Food Palace,4.8,Indian,504.89,15.02,UPI,2.32,High,Clear,18.02,0,3.1,Bike,2025-02-26 12:26:00,Wednesday,0,0,On-Time
42,4136,26,Premium,Food Palace,4.1,Desserts,450.87,23.63,UPI,1.43,High,Rainy,19.75,0,0.7,Bike,2025-02-11 09:50:00,Tuesday,0,0,On-Time
43,4559,42,Premium,Food Palace,3.3,Italian,698.36,30.8,UPI,4.02,Medium,Rainy,25.14,0,3.3,Bike,2025-01-01 09:32:00,Wednesday,0,0,On-Time
44,2964,53,Regular,Spicy Hub,4.1,Chinese,717.67,25.5,Card,11.17,Medium,Clear,71.48,1,4.9,Bike,2025-03-29 21:49:00,Saturday,1,0,Late
45,2486,38,Regular,Food Palace,4.6,Chinese,434.37,17.56,UPI,2.1,Low,Rainy,22.63,0,0.6,Bike,2025-02-21 22:03:00,Friday,0,0,On-Time
46,3406,53,Regular,Urban Kitchen,4.4,Italian,579.4,6.93,UPI,3.19,Low,Stormy,29.49,0,1.6,Cycle,2025-01-23 19:29:00,Thursday,0,0,On-Time
47,2059,37,Premium,Spicy Hub,4.3,Fast Food,443.93,38.19,Card,11.33,Medium,Clear,76.0,1,3.0,Scooter,2025-01-12 23:40:00,Sunday,1,0,Late
48,1064,59,New,Urban Kitchen,3.5,Chinese,523.77,30.31,UPI,1.2,Medium,Rainy,13.31,0,1.0,Bike,2025-02-17 02:40:00,Monday,0,1,On-Time
49,4305,19,New,Food Palace,4.7,Desserts,888.84,18.97,Card,2.37,Low,Stormy,20.83,0,2.7,Bike,2025-02-26 03:45:00,Wednesday,0,0,On-Time
50,2767,55,Premium,Food Palace,3.9,Chinese,568.43,24.63,UPI,9.89,High,Rainy,80.43,1,0.7,Cycle,2025-02-11 09:17:00,Tuesday,0,0,Cancelled
51,4474,31,Regular,Spicy Hub,4.0,Indian,1049.31,26.35,Card,3.28,Low,Clear,19.19,0,0.8,Cycle,2025-03-05 02:20:00,Wednesday,0,0,On-Time
52,1918,34,Premium,Spicy Hub,4.2,Italian,1137.24,23.02,Cash,6.43,High,Rainy,56.84,1,3.4,Cycle,2025-03-19 21:14:00,Wednesday,0,0,Late
53,1668,38,Premium,Urban Kitchen,4.9,Fast Food,555.41,38.45,Card,13.67,Medium,Stormy,87.88,1,1.4,Cycle,2025-03-10 13:57:00,Monday,0,0,Late
54,4505,59,Regular,Urban Kitchen,3.0,Fast Food,249.17,27.32,UPI,2.0,Low,Clear,14.5,0,1.9,Cycle,2025-01-28 11:37:00,Tuesday,0,0,On-Time
55,2072,40,Premium,Food Palace,4.6,Fast Food,445.95,4.73,UPI,10.75,Low,Rainy,75.13,1,3.3,Bike,2025-03-05 12:04:00,Wednesday,0,0,Late
56,3495,44,Premium,Urban Kitchen,4.6,Indian,446.14,7.1,Cash,11.51,Low,Clear,75.86,1,4.1,Scooter,2025-02-09 11:39:00,Sunday,1,0,Late
57,3279,57,Premium,Urban Kitchen,3.7,Fast Food,965.23,13.63,UPI,14.03,Medium,Stormy,133.46,1,4.4,Bike,2025-01-18 15:46:00,Saturday,1,0,Late
58,4574,59,Regular,Food Palace,4.5,Chinese,258.28,36.1,Card,8.07,High,Clear,53.54,1,4.2,Bike,2025-03-17 01:51:00,Monday,0,0,Late
59,2101,35,Regular,Urban Kitchen,3.8,Indian,161.38,36.22,UPI,2.28,Low,Clear,20.93,0,1.9,Bike,2025-02-18 18:47:00,Tuesday,0,0,On-Time
60,4551,48,New,Urban Kitchen,4.1,Italian,813.43,17.94,UPI,5.1,Medium,Clear,35.35,0,2.0,Bike,2025-01-17 07:44:00,Friday,0,0,On-Time
61,4451,22,Regular,Spicy Hub,4.6,Fast Food,979.1,3.65,UPI,7.92,Medium,Stormy,69.54,1,0.8,Scooter,2025-02-25 20:29:00,Tuesday,0,0,Late
62,1835,26,Premium,Food Palace,4.8,Italian,518.46,4.68,UPI,3.0,Low,Clear,20.76,0,3.9,Bike,2025-02-22 16:06:00,Saturday,1,0,On-Time
63,1387,24,Regular,Food Palace,3.2,Indian,886.02,2.91,Card,12.51,High,Stormy,119.37,1,3.7,Cycle,2025-01-12 00:11:00,Sunday,1,0,Late
64,4638,26,Premium,Urban Kitchen,5.0,Chinese,542.98,14.83,Cash,12.38,High,Rainy,176.81,1,4.8,Scooter,2025-01-31 12:10:00,Friday,0,1,Late
65,1720,22,New,Urban Kitchen,3.8,Desserts,237.68,31.09,Cash,8.82,Low,Clear,48.0,1,2.4,Bike,2025-03-26 14:42:00,Wednesday,0,0,Late
66,4340,31,Regular,Food Palace,4.0,Italian,161.92,18.75,UPI,1.79,Low,Stormy,17.51,0,1.0,Cycle,2025-01-01 16:15:00,Wednesday,0,0,On-Time
67,2517,55,New,Urban Kitchen,4.5,Indian,762.54,38.49,Cash,6.25,Medium,Rainy,83.71,1,1.8,Scooter,2025-02-08 15:45:00,Saturday,1,1,Late
68,3708,40,Regular,Food Palace,4.9,Desserts,162.76,38.8,Cash,1.6,Medium,Clear,17.75,0,4.5,Bike,2025-01-14 10:59:00,Tuesday,0,0,On-Time
69,2708,31,Regular,Urban Kitchen,3.1,Indian,731.55,38.77,UPI,8.32,Low,Clear,43.81,0,3.3,Cycle,2025-01-07 19:54:00,Tuesday,0,0,On-Time
70,4775,46,New,Spicy Hub,4.3,Indian,763.53,36.05,Cash,1.64,Medium,Stormy,24.88,0,1.8,Cycle,2025-01-23 18:02:00,Thursday,0,0,On-Time
71,3467,24,Premium,Spicy Hub,3.9,Chinese,801.14,11.1,UPI,3.63,High,Rainy,39.4,0,2.6,Scooter,2025-03-16 04:09:00,Sunday,1,0,On-Time
72,3840,47,New,Spicy Hub,3.2,Italian,1173.11,39.45,Cash,10.77,Low,Rainy,59.74,1,2.9,Scooter,2025-03-20 01:16:00,Thursday,0,0,Late
73,4792,50,New,Spicy Hub,4.4,Fast Food,320.75,36.44,Cash,12.52,Medium,Stormy,115.07,1,4.8,Bike,2025-03-13 19:48:00,Thursday,0,0,Cancelled
74,4455,35,Premium,Urban Kitchen,3.8,Italian,1129.36,34.64,Card,1.63,High,Clear,21.9,0,0.6,Bike,2025-02-07 08:25:00,Friday,0,1,On-Time
75,2004,59,Premium,Food Palace,5.0,Italian,307.94,23.77,Cash,6.33,High,Rainy,78.58,1,4.9,Cycle,2025-03-01 18:04:00,Saturday,1,0,Cancelled
76,2746,53,Regular,Spicy Hub,3.9,Fast Food,585.56,10.94,Cash,1.79,Medium,Clear,21.92,0,4.4,Bike,2025-02-08 01:55:00,Saturday,1,0,On-Time
77,3166,43,Premium,Food Palace,5.0,Italian,733.2,30.76,Cash,14.23,Medium,Stormy,121.83,1,4.3,Scooter,2025-01-26 15:35:00,Sunday,1,0,Late
78,1681,58,Regular,Spicy Hub,3.3,Chinese,1151.75,24.25,UPI,4.2,Low,Stormy,35.26,0,3.5,Bike,2025-03-14 00:45:00,Friday,0,0,On-Time
79,4156,42,Regular,Urban Kitchen,3.2,Italian,855.15,20.81,UPI,11.81,Medium,Clear,74.43,1,2.8,Cycle,2025-01-13 13:50:00,Monday,0,0,Late
80,4417,45,Regular,Spicy Hub,4.1,Desserts,1070.49,16.14,Cash,2.88,High,Rainy,33.43,0,0.6,Scooter,2025-01-14 18:37:00,Tuesday,0,0,On-Time
81,1250,59,New,Urban Kitchen,4.4,Chinese,373.61,5.45,Card,1.2,High,Stormy,19.0,0,2.1,Cycle,2025-03-03 03:27:00,Monday,0,0,On-Time
82,1637,19,Regular,Urban Kitchen,3.9,Chinese,1099.37,13.93,UPI,8.2,High,Clear,54.77,1,4.0,Cycle,2025-03-20 20:01:00,Thursday,0,0,Late
83,3604,20,Regular,Urban Kitchen,4.7,Indian,1147.0,5.88,Cash,13.97,Medium,Stormy,101.62,1,2.7,Bike,2025-03-05 13:52:00,Wednesday,0,0,Late
84,4076,58,Premium,Food Palace,5.0,Chinese,667.25,13.15,Cash,9.87,High,Stormy,95.23,1,1.6,Scooter,2025-03-16 20:33:00,Sunday,1,0,Late
85,2816,25,New,Urban Kitchen,3.3,Fast Food,309.5,5.55,UPI,9.97,Medium,Rainy,66.9,1,1.3,Cycle,2025-03-07 02:35:00,Friday,0,0,Late
86,4148,48,New,Spicy Hub,3.9,Italian,850.94,6.89,Cash,3.69,Medium,Clear,24.13,0,0.7,Cycle,2025-03-16 19:32:00,Sunday,1,0,On-Time
87,2845,30,Premium,Spicy Hub,3.4,Indian,243.14,4.83,Card,7.45,Low,Stormy,82.18,1,1.4,Cycle,2025-02-01 07:23:00,Saturday,1,1,Late
88,2146,53,New,Urban Kitchen,4.4,Chinese,191.28,31.98,UPI,9.79,Low,Clear,74.67,1,0.9,Bike,2025-01-08 07:25:00,Wednesday,0,1,Late
89,2822,23,Premium,Spicy Hub,3.1,Fast Food,440.72,32.25,Cash,11.48,High,Stormy,119.88,1,1.3,Scooter,2025-02-01 14:55:00,Saturday,1,0,Late
90,1887,57,Premium,Urban Kitchen,4.0,Indian,799.17,14.76,Card,7.48,Low,Rainy,36.15,0,3.9,Cycle,2025-02-26 23:28:00,Wednesday,0,0,Cancelled
91,1823,20,Regular,Urban Kitchen,4.4,Chinese,1089.97,20.47,Card,8.45,High,Stormy,102.45,1,1.0,Bike,2025-01-18 03:37:00,Saturday,1,0,Late
92,2744,54,Regular,Urban Kitchen,3.5,Indian,432.71,15.09,Card,1.28,Medium,Stormy,15.05,0,1.9,Bike,2025-01-10 00:01:00,Friday,0,0,On-Time
93,4641,24,New,Urban Kitchen,3.2,Fast Food,1085.05,23.74,UPI,10.51,Medium,Clear,76.01,1,4.1,Cycle,2025-01-17 10:46:00,Friday,0,1,Late
94,4796,29,New,Urban Kitchen,4.1,Desserts,766.18,29.82,Cash,7.04,Low,Rainy,39.47,0,1.1,Scooter,2025-01-14 08:15:00,Tuesday,0,0,On-Time
95,3374,22,Premium,Food Palace,4.3,Italian,749.32,14.24,Cash,14.81,Low,Rainy,72.4,1,3.2,Cycle,2025-03-05 17:20:00,Wednesday,0,0,Late
96,3178,26,Regular,Urban Kitchen,3.3,Indian,408.26,6.43,Card,3.61,High,Stormy,50.08,1,1.8,Scooter,2025-03-14 15:26:00,Friday,0,1,Late
97,1818,52,Regular,Urban Kitchen,3.2,Indian,700.74,16.42,Cash,14.75,High,Clear,93.83,1,1.0,Cycle,2025-01-03 11:46:00,Friday,0,0,Late
98,3628,44,New,Urban Kitchen,4.7,Indian,1007.93,10.32,Card,3.39,High,Clear,32.49,0,3.5,Cycle,2025-02-03 01:14:00,Monday,0,0,On-Time
99,2556,50,New,Spicy Hub,4.1,Italian,443.98,30.78,Cash,3.62,Low,Stormy,29.84,0,2.0,Bike,2025-03-05 07:46:00,Wednesday,0,0,On-Time
100,4161,43,Regular,Urban Kitchen,3.5,Chinese,270.58,24.42,Cash,5.04,Low,Rainy,29.08,0,3.1,Scooter,2025-01-16 02:35:00,Thursday,0,0,On-Time
101,1318,35,Premium,Urban Kitchen,4.1,Italian,204.41,13.46,UPI,2.88,Low,Stormy,34.15,0,0.8,Cycle,2025-01-18 02:15:00,Saturday,1,0,On-Time
102,4136,32,Regular,Food Palace,4.6,Italian,417.37,27.26,UPI,11.64,Medium,Stormy,95.18,1,3.2,Bike,2025-03-19 14:34:00,Wednesday,0,0,Late
103,4304,19,New,Spicy Hub,3.7,Italian,1126.01,33.22,Card,14.51,Medium,Stormy,158.85,1,1.1,Cycle,2025-03-22 15:16:00,Saturday,1,0,Late
104,3822,36,Premium,Urban Kitchen,3.4,Italian,219.82,29.64,Card,9.04,Low,Stormy,56.41,1,4.3,Cycle,2025-01-16 00:24:00,Thursday,0,0,Late
105,2366,36,New,Urban Kitchen,3.4,Indian,321.84,6.57,Cash,12.4,Medium,Stormy,103.12,1,3.5,Bike,2025-02-13 14:10:00,Thursday,0,0,Late
106,2802,19,Premium,Urban Kitchen,4.8,Fast Food,562.07,32.66,Card,7.15,Medium,Stormy,60.39,1,2.2,Cycle,2025-01-07 05:19:00,Tuesday,0,0,Late
107,1573,31,New,Urban Kitchen,4.5,Desserts,677.86,9.29,Card,13.59,High,Clear,92.85,1,2.2,Cycle,2025-01-20 03:57:00,Monday,0,0,Late
108,4402,25,New,Urban Kitchen,4.2,Indian,272.74,37.59,Card,9.79,Medium,Clear,47.49,1,2.0,Bike,2025-02-13 23:07:00,Thursday,0,0,Late
109,1438,38,Premium,Spicy Hub,4.2,Chinese,710.13,35.76,Card,12.04,Medium,Stormy,90.0,1,1.2,Cycle,2025-02-14 13:54:00,Friday,0,0,Late
110,3513,30,New,Spicy Hub,4.5,Italian,185.21,22.8,Card,11.67,Low,Rainy,65.0,1,4.4,Scooter,2025-01-06 10:19:00,Monday,0,0,Late
111,2759,57,Premium,Spicy Hub,3.2,Indian,1038.77,5.1,Cash,6.56,Low,Clear,36.45,0,4.1,Scooter,2025-01-31 17:10:00,Friday,0,1,On-Time
112,3013,27,New,Urban Kitchen,4.4,Fast Food,906.04,25.65,Cash,10.72,High,Clear,74.33,1,2.9,Cycle,2025-01-25 23:04:00,Saturday,1,0,Late
113,2782,24,New,Urban Kitchen,3.4,Chinese,1103.87,23.34,Card,6.61,Medium,Clear,44.59,0,2.6,Bike,2025-03-31 18:13:00,Monday,0,0,On-Time
114,1457,36,Premium,Spicy Hub,4.2,Desserts,681.18,24.46,Cash,1.25,Low,Clear,13.91,0,4.4,Cycle,2025-03-07 13:24:00,Friday,0,0,On-Time
115,4180,38,Regular,Urban Kitchen,4.4,Indian,1118.62,28.29,Card,3.14,High,Stormy,38.87,0,3.1,Cycle,2025-02-17 00:27:00,Monday,0,0,On-Time
116,3186,54,Regular,Spicy Hub,4.5,Italian,1131.09,37.02,UPI,7.31,Low,Rainy,56.42,1,1.0,Cycle,2025-01-09 22:03:00,Thursday,0,0,Late
117,3153,20,New,Spicy Hub,3.2,Fast Food,1116.88,34.8,Cash,8.26,Low,Clear,36.65,0,3.2,Scooter,2025-02-03 05:47:00,Monday,0,0,On-Time
118,3423,34,New,Spicy Hub,3.7,Chinese,993.0,0.19,UPI,5.67,Medium,Rainy,45.64,1,2.3,Scooter,2025-02-17 03:37:00,Monday,0,0,Cancelled
119,4751,40,New,Spicy Hub,3.7,Desserts,514.3,29.5,Cash,7.33,Low,Stormy,51.5,1,1.5,Scooter,2025-03-27 09:51:00,Thursday,0,0,Late
120,4618,28,New,Urban Kitchen,3.4,Chinese,673.29,16.76,Cash,13.81,High,Clear,94.36,1,2.1,Cycle,2025-01-29 20:48:00,Wednesday,0,0,Late
121,2965,60,New,Urban Kitchen,3.0,Chinese,846.71,7.12,UPI,14.45,Medium,Rainy,91.75,1,1.2,Bike,2025-02-12 20:55:00,Wednesday,0,0,Late
122,1449,20,Regular,Urban Kitchen,5.0,Chinese,677.3,23.82,Card,1.94,Low,Clear,16.12,0,3.9,Bike,2025-03-14 01:53:00,Friday,0,0,Cancelled
123,3270,60,New,Spicy Hub,3.4,Desserts,350.22,1.46,UPI,7.61,High,Clear,44.62,0,3.0,Bike,2025-01-22 08:07:00,Wednesday,0,0,On-Time
124,4849,33,Regular,Food Palace,3.9,Chinese,700.61,17.63,Cash,6.61,Low,Stormy,40.92,0,3.0,Cycle,2025-02-11 16:13:00,Tuesday,0,0,On-Time
125,1178,23,New,Urban Kitchen,4.7,Chinese,1143.42,14.93,Cash,4.79,Low,Stormy,40.24,0,3.4,Bike,2025-03-23 15:35:00,Sunday,1,0,On-Time
126,2079,24,New,Food Palace,3.3,Italian,901.77,26.36,UPI,1.38,High,Rainy,19.54,0,1.5,Cycle,2025-02-01 22:55:00,Saturday,1,0,On-Time
127,1617,53,New,Food Palace,3.0,Italian,259.31,32.0,UPI,3.5,Low,Rainy,27.64,0,3.4,Cycle,2025-01-01 19:55:00,Wednesday,0,1,On-Time
128,2415,46,Premium,Food Palace,3.5,Italian,908.38,34.23,UPI,12.62,High,Stormy,137.36,1,2.3,Cycle,2025-01-27 14:50:00,Monday,0,0,Late
129,1983,25,Regular,Food Palace,3.6,Desserts,1091.15,0.52,Card,2.2,Low,Clear,12.62,0,1.4,Scooter,2025-03-05 13:22:00,Wednesday,0,0,On-Time
130,3649,42,Premium,Spicy Hub,4.2,Indian,592.5,35.71,Cash,12.44,High,Rainy,92.26,1,2.0,Bike,2025-03-10 01:31:00,Monday,0,0,Late
131,1853,27,Regular,Food Palace,4.2,Desserts,431.47,24.97,Card,6.73,Low,Rainy,47.13,1,3.0,Cycle,2025-03-22 16:58:00,Saturday,1,0,Late
132,3738,25,New,Urban Kitchen,4.9,Indian,951.79,5.6,Cash,13.16,Low,Rainy,107.32,1,2.7,Scooter,2025-02-09 14:18:00,Sunday,1,0,Late
133,4760,40,Premium,Food Palace,3.9,Italian,173.59,10.75,Card,8.58,Low,Rainy,44.91,0,3.4,Cycle,2025-03-21 10:35:00,Friday,0,0,On-Time
134,1483,18,Regular,Food Palace,4.7,Fast Food,1183.62,21.03,Card,3.4,High,Clear,28.16,0,1.7,Scooter,2025-01-05 23:27:00,Sunday,1,0,On-Time
135,3593,37,Premium,Spicy Hub,3.2,Chinese,755.34,10.96,Card,8.76,Low,Rainy,59.09,1,3.4,Scooter,2025-01-13 07:37:00,Monday,0,0,Late
136,1158,54,New,Urban Kitchen,3.0,Indian,293.73,36.0,Card,13.23,Low,Rainy,80.58,1,3.2,Scooter,2025-02-20 01:46:00,Thursday,0,0,Late
137,1911,35,New,Urban Kitchen,3.4,Italian,1110.13,16.75,Card,6.36,Low,Rainy,31.41,0,2.8,Bike,2025-01-29 22:23:00,Wednesday,0,0,On-Time
138,2533,34,Premium,Urban Kitchen,4.5,Fast Food,236.94,24.13,Cash,4.43,Low,Stormy,32.13,0,2.3,Cycle,2025-01-31 05:56:00,Friday,0,0,On-Time
139,1114,39,New,Spicy Hub,4.4,Indian,461.98,22.66,Card,7.66,High,Clear,64.66,1,3.5,Scooter,2025-03-11 20:52:00,Tuesday,0,0,Late
140,4009,42,Regular,Food Palace,3.4,Desserts,182.74,10.49,UPI,9.33,Medium,Rainy,77.72,1,0.7,Cycle,2025-02-15 01:18:00,Saturday,1,0,Late
141,3867,40,New,Spicy Hub,3.7,Desserts,959.46,4.26,Card,2.05,High,Stormy,35.93,0,3.8,Cycle,2025-03-28 03:33:00,Friday,0,1,On-Time
142,4740,30,Premium,Food Palace,3.9,Fast Food,408.72,32.76,Cash,12.19,Medium,Stormy,90.9,1,3.6,Scooter,2025-01-08 21:55:00,Wednesday,0,0,Late
143,1884,56,Premium,Urban Kitchen,3.7,Desserts,246.16,36.69,Card,2.92,High,Clear,22.97,0,4.8,Bike,2025-03-18 19:54:00,Tuesday,0,0,On-Time
144,4160,29,Regular,Urban Kitchen,4.1,Italian,1066.59,29.29,Card,12.29,Low,Stormy,95.46,1,3.5,Scooter,2025-01-24 12:39:00,Friday,0,0,Late
145,4912,35,Regular,Urban Kitchen,3.5,Desserts,663.9,8.85,UPI,14.83,Medium,Rainy,79.76,1,4.7,Bike,2025-02-13 22:11:00,Thursday,0,0,Late
146,2207,22,Regular,Urban Kitchen,4.9,Fast Food,339.6,22.72,UPI,13.82,High,Rainy,124.92,1,0.7,Scooter,2025-01-24 00:21:00,Friday,0,0,Late
147,3104,59,Regular,Food Palace,4.8,Indian,1169.61,37.77,Card,7.64,High,Stormy,92.57,1,4.4,Bike,2025-02-18 12:10:00,Tuesday,0,0,Late
148,1892,60,Regular,Urban Kitchen,4.7,Chinese,188.86,23.85,UPI,4.22,High,Rainy,34.43,0,1.0,Scooter,2025-03-12 06:45:00,Wednesday,0,0,On-Time
149,3928,60,Regular,Urban Kitchen,3.7,Chinese,911.01,2.61,UPI,5.41,Low,Rainy,38.82,0,2.9,Scooter,2025-02-26 02:40:00,Wednesday,0,0,Cancelled
150,3733,30,Premium,Spicy Hub,4.3,Italian,1080.28,24.63,Cash,4.26,Medium,Rainy,49.21,1,0.6,Scooter,2025-01-30 20:14:00,Thursday,0,1,Late
